[2014/10/11 - 12:36:23] Te han sancionado, por 1 minuto(s). Razón: Prueba
[2014/10/19 - 12:23:38] Te han sancionado, por 1 minuto(s). Razón: PRUEBA
[2014/10/30 - 15:51:38] Te han sancionado, por 1 minuto(s). Razón: 1
[2014/10/30 - 15:52:16] Te han sancionado, por 1 minuto(s). Razón: 0
[2014/10/30 - 15:52:21] Te han sancionado, por 0 minuto(s). Razón: 0
[2016/10/10 - 3:11:58] [AdmCmd]: Mariano Hernandez fué sancionado por Joaco DeAvila, razón: MUD, tiempo: 5 minuto(s)
[2016/10/10 - 3:17:49] [AdmCmd]: Bayron Wazouky fué sancionado por Joaco DeAvila, razón: ., tiempo: 1 minuto(s)
[2016/10/10 - 3:19:19] [AdmCmd]: Joaco DeAvila fué sancionado por Bayron Wazouky, razón: WAPO  Te Chuparia Todo, tiempo: 1 minuto(s)
[2016/10/10 - 3:34:40] [AdmCmd]: Mario Gomez fué sancionado por Joaco DeAvila, razón: BH+PJ, tiempo: 20 minuto(s)
[2016/10/10 - 7:13:7] [AdmCmd]: Axel Yankee fué sancionado por Fady Saba, razón: PG DM, tiempo: 15 minuto(s)
[2016/10/10 - 8:17:0] [AdmCmd]: Mariano Hernandez fué sancionado por Takeshi Yuki, razón: NRC, tiempo: 5 minuto(s)
[2016/10/10 - 18:14:32] [AdmCmd]: Camilo Batista fué sancionado por Azarel Thawne, razón: NRGA, tiempo: 5 minuto(s)
[2016/10/10 - 19:51:53] [AdmCmd]: Nahuel Beltran fué sancionado por Nicolas Guevara, razón: Mal AD, tiempo: 5 minuto(s)
[2016/10/10 - 20:20:0] [AdmCmd]: Ignacio Abrea fué sancionado por Bayron Wazouky, razón: AIOOC, tiempo: 5 minuto(s)
[2016/10/11 - 1:53:59] [AdmCmd]: Nicolas Guevara fué sancionado por Azarel Thawne, razón: BH, tiempo: 99999 minuto(s)
[2016/10/11 - 1:57:27] [AdmCmd]: Manuel Melo fué sancionado por Nicolas Guevara, razón: bug, tiempo: 1 minuto(s)
[2016/10/11 - 2:1:32] [AdmCmd]: Facundo Fernandez fué sancionado por Nicolas Guevara, razón: PG, tiempo: 0 minuto(s)
[2016/10/11 - 2:12:52] [AdmCmd]: Facundo Fernandez fué sancionado por Cornelio Contreras, razón: PG, tiempo: 5 minuto(s)
[2016/10/11 - 2:22:17] [AdmCmd]: Fran Perez fué sancionado por Cornelio Contreras, razón: DB, tiempo: 5 minuto(s)
[2016/10/11 - 2:25:26] [AdmCmd]: Dubrasca Lafuente fué sancionado por Joaco DeAvila, razón: BD, tiempo: 5 minuto(s)
[2016/10/11 - 2:55:11] [AdmCmd]: Nestor Sanchez fué sancionado por Joaco DeAvila, razón: NRE+NRA+No rol de subir al techo+NRH, tiempo: 26 minu
[2016/10/12 - 2:12:55] [AdmCmd]: Mariano Hernandez fué sancionado por Joaco DeAvila, razón: NRE+NRCA, tiempo: 20 minuto(s)
